Match,Market,Selection,Line,Bookie_Odds,Model_Prob,EV_Percentage
Collingwood vs Geelong,Total Game Points,UNDER,171.5,1.9,62%,17.8
Collingwood vs Geelong,Nick Daicos Disposals,UNDER,30.5,1.88,58%,9.0
